"Facility Name","name (OpenLMIS)","DHIS2_id","OpenLMIS Code","DHAMIS Facility ID"
"Daeyang Luke Hospital","Daeyang Luke Hospital","LKsJWFXsxOB","LL1568","1150"
"Dai Halima (Bangwe Madina)","Dai Halima (Bangwe Madina)","OV47ojciSpV","Not existing",""
"","Dambe Health Centre","OhKdUBApLZa","NE3718","1459"
"David Gordon Memorial Hospital(closed)","David Gordon Memorial Hospital","Jkj2HAJ5db9","RU0441",""
"","Dedza DHO Pharmacy","MhcRPWjeguM","DZ1707",""
"Dedza District Hospital","Dedza District Hospital","K5sEB29YW3W","DZ1707","45"
"David Gordon Memorial Hospital (Livingstonia Mission Hospital)","DGM Livingstonia Hospital","FoWBNiRRWnB","RU0441",""
"Diamphwe Health Centre","Diamphwi Health Centre","BWBOtEvaMkr","LL1511","684"
"Dickson Health Centre","Dickson Health Centre","aKJzwDfSJqM","LL1512","958"
"Didi Health Center","Didi Health Center","AJu1RgcA1JG","TO3128","1282"
"Dinji Village Clinic","Dinji Village Clinic","nUMYyl9glzb","Not existing",""
"Discovery Medi Clinic ","Discovery Medi Clinic","saJaR27j6yW","LL1597","805"
"Dolo Health Centre","Dolo Health Centre","SOwb9qUKJnt","CK3305","558"
"Doloba Village Clinic","Doloba Village Clinic","Etw215OUA2j","Not existing",""
"Domasi Rural Hospital","Domasi Rural/ Community Hospital","U0YwDhBOZeY","ZA2706","602"
"Doroba 2 Village Clinic","Doroba 2 Village Clinic","fwVfyvvyaNL","Not existing",""
"Doviko Dispensary","Doviko Health Centre","kG4jZtoHH8f","NU1806","961"
"Dowa-DHO","Dowa DHO Pharmacy","S4Lr8zJqfHx","DA1307",""
"Dowa District Hospital","Dowa District Hospital","F4aQvPL4c5a","DA1307","47"
"Dr David Livingstone Memorial Clinic","Dr David Livingstone Memorial Clinic","KvtV3ZtJGyR","LL1570","802"
"Dr Msachi's Clinic ","Dr Msachi's Clinic","O7D48utczxD","MZN0552","807"
"Dream","Dream","xhINxzjVJ0c","Not existing",""
"Dunduzu Village Clinic","Dunduzu Village Clinic","jnH5vLSVoFV","Not existing",""
"Dungulira Village Clinic","Dungulira Village Clinic","sPlC2NMSgIw","Not existing",""
"Dwambazi Rural Hospital","Dwambazi Rural/ Community Hospital","GFQSwXAzql8","KK1104","333"
"Dwangwa Cane Growers Limited Dispensary","Dwangwa Cane Growers Limited Clinic","w6VRxc89b5K","KK1120","1170"
"Dwangwa Health Centre","Dwangwa Dispensary","n89uKexauZq","KU1004","305"
"Dyanyama Village Clinic","Dyanyama Village Clinic","g3zhIRgC0vC","Not existing",""
"Dzalanyama Dispensary","Dzalanyama Dispensary","pveDNK0q3s7","LL1543",""
"Dzaleka Refugee Camp Health Centre","Dzaleka Health Centre","b1RogeavIPD","DA1308","466"
"Dzenje Health Centre","Dzenje Health Centre","nMp06ehwoOX","MJ3205","970"
"Dzenza Health Centre","Dzenza Health Centre","hpUbeZgjQkx","LL1513","967"
"Didi Health Centre","Dzimbiri (DiDi) Health Centre","AkP3EOq0hGk","TO3128","1102"
"Dzindevu Health Centre","Dzindevu Health Centre","QL1C4nvZVLn","DZ1708","973"
"Dziwe Health Centre","Dziwe Health Centre","hnbxxugq3Ds","BT2907","746"
"Dzonzi-Mvai Health Centre","Dzonzi-Mvai Health Centre","fH7hgQtTEvy","Not existing","976"
"Dzoole Health Centre","Dzoole Health Centre","lykzV97DJgq","DA1309","479"
"Dzunje Dispensary","Dzunje Health Centre","mxlb6XxX6cp","NU1839","977"
"Edingeni Rural Hospital","Edingeni Health Centre","gWTmNAQxkV8","MZS0503","589"
"Edundu Village Clinic","Edundu Village Clinic","VXmUUanSdaT","Not existing",""
"Ehehleni Dispensary","Ehehieni Dispensary","RdbkvuyiIKf","MZS0549","979"
"Ehlonipeni Village Clinic","Ehlonipeni Village Clinic","fRvfk1r1T38","Not existing",""
"Ejingweni Village Clinic","Ejingweni Village Clinic","qN8Y1kIvooP","Not existing",""
"Ekhama Village Clinic","Ekhama Village Clinic","xsUULPJUIKP","Not existing",""
"Ekwaiweni Health Centre","Ekwayiweni Health Centre","AlGl0pjBwFS","MZN0553","1400"
"Ekwendeni Mission Hospital","Ekwendeni Hospital","jcv5nI6bzTq","MZN0504","49"
"Elamuleni Village Clinic","Elamuleni Village Clinic","pCNtvAJGG6B","Not existing",""
"Elunyeni Village Clinic","Elunyeni Village Clinic","GAehqZMC7Kv","Not existing",""
"Emangeni Village Clinic","Emangeni Village Clinic","CJMwlxXLQRC","Not existing",""
"Emanyaleni Village Clinic","Emanyaleni Village Clinic","U5mHbJksAcS","Not existing",""
"Embangweni Hospital","Embangweni Hospital","ySElKKfe6yc","MZS0505","50"
"Embombeni Village Clinic","Embombeni Village Clinic","JwMTr6qbVTm","Not existing",""
"Emfeni Health Centre","Emfeni Health Centre","ihG7TCzUsYI","MZS0506","982"
"Emoyeni Village Clinic","Emoyeni Village Clinic","cACTAgQRept","Not existing",""
"Emsizini Health Centre","Emsizini Health Centre","HFKrnnX40ZR","MZN0507","1191"
"Emtiyani Village Clinic","Emtiyani Village Clinic","ZjEOEPFvb2a","Not existing",""
"Endindeni Health Centre","Endindeni Health Centre","J3iNTezM5iw","MZS0508","983"
"Engucwini Health Centre","Engucwini Health Centre","Tt5yMX4YCYJ","MZN0554","545"
"Enukweni Health Centre","Enukweni Health Centre","nmptn9bUYXv","MZN0406","542"
"Enyezini Village Clinic","Enyezini Village Clinic","RwHjfRJawPk","Not existing",""
"Escom Clinic Lilongwe","Escom Clinic Lilongwe","ahOuLxBrycV","LL4052","1131"
"Escom Clinic Mzuzu ","Escom Clinic Mzuzu","xmlMKVGErR7","MZN0556","1139"
"Euthini Rural Hospital","Euthini Rural/ Community Hospital","a7zgH8mf2GX","MZS0509","537"
"Eva Demaya Centre ","Eva Demaya Centre","crKYTgv7r7B","RU0429","1211"
"Fidelity Private Clinic","Fidelity Private","G1n34alnula","LL7002","1411"
"Fikani Village Clinic","Fikani Village Clinic","lFeE0DZmt8f","Not existing",""
"Finiasi Village Clinic","Finiasi Village Clinic","B7b7485R1Iz","Not existing",""
"Fombe Village Clinic","Fombe Village Clinic","EtIaI0JaXBJ","Not existing",""
"Fulama Village Clinic","Fulama Village Clinic","gO1PLtb90oE","Not existing",""
"Fulirwa Health Centre","Fulirwa Health Centre","UNLZJ1Nr3sq","KA0202","985"
"Fundi Village Clinic","Fundi Village Clinic","fPpzxHIj93A","Not existing",""
"Fwira Village Clinic","Fwira Village Clinic","QpanImNw3kM","Not existing",""
"Gaga Health Centre","Gaga Health Centre","ilA4dQOCNDP","CK3306","572"
"Galileya Village Clinic","Galileya Village Clinic","YIovYMyCQLg","Not existing",""
"Ganya Health Centre","Ganya Health Centre","eWHvY4VmR4R","NU1808","986"
"Gate way Clinic","Gate way Clinic","rBhHYqxxhyM","BT5060","1382"
"Gawanani Health Centre","Gawanani Health Centre","GEb1hObhM4q","MHG2603","987"
"Gawani Village Clinic","Gawani Village Clinic","jOgEQ7WKaT0","Not existing",""
"Gika Clinic","Gika Clinic","VGwB7sXLiHF","Not existing",""
"Ginnery Corner BLM","Ginnery Corner BLM","ZatKYtoIX0O","Not existing","1115"
"Gogode Health Centre","Gogode Dispensary","HcsIEmls8R2","KU1021","989"
"Gojo Village Clinic","Gojo Village Clinic","Q7CbNXuvRnb","Not existing",""
"Gola Dispensary","Gola Dispensary","u4cfHib3TrT","CK3352","576"
"Golden Village Clinic","Golden Village Clinic","CJt4BXB6WQw","Not existing",""
"Golomoti Health Centre","Golomoti Health Centre","DuvCctg3dhx","DZ1727","349"
"Gombe Health Center","Gombe Health Centre","fCCBqUju3Q4","TO023","651"
"Gondwa Village Clinic","Gondwa Village Clinic","xTsGAVV01aX","Not existing",""
"Good Hope Private Clinic ","Good Hope Private Clinic","Rs15DgnA3YP","LL4080","1267"
"Gowa Health Centre","Gowa Health Centre","LDtggHdyRks","NU1809","991"
"Gowero Village Clinic","Gowero Village Clinic","qLtQsu49WYn","Not existing",""
"Gowoka Village Clinic","Gowoka Village Clinic","OJEJUMf8YgF","Not existing",""
"Guilleme St Michaels Mission Hospital","Guillime Hospital","oT0jXXNSmag","MC1603","481"
"Guma Village Clinic","Guma Village Clinic","ckvLGHNAJSk","Not existing",""
"Gumba Dispensary","Gumba Health Post Health Centre","qUpaRCpnoux","MC1616","1183"
"Guta-Chaleka Village Clinic","Guta-Chaleka Village Clinic","ACB54xP9S89","Not existing",""
"Gwaza Village Clinic","Gwaza Village Clinic","JP7WAizPEsp","Not existing",""
"H Parker Sharp Dispensary","H Parker Sharp Health Centre","KhuXq8PnptT","ZA2752","1157"
"Hara Dispensary","Hara Health Centre","T13U7sHC0v2","KA0203","1001"
"Hoho Health Centre","Hoho Health Centre","ypiAvIrP9U6","MZS0510","996"
"Holera Village Clinic","Holera Village Clinic","If2ALAf3fA2","Not existing",""
"Humbo Village Clinic","Humbo Village Clinic","tqwGzZW2Mtr","Not existing",""
"Iba Dispensary","Iba Health Centre","FZw4GOFV5X0","MH2541","998"
"Ibanda Village Clinic","Ibanda Village Clinic","Z103FDSN7NW","Not existing",""
"Ifumbo Health Centre","Ifumbo Health Centre","LLnCuwo5RNG","CP0104","422"
"Ighembe Village Clinic","Ighembe Village Clinic","XeDKiGzkhB8","Not existing",""
"Infanjawo Village Clinic","Infanjawo Village Clinic","dHeaEl0QWvR","Not existing",""
"Ipenza Village Clinic","Ipenza Village Clinic","ppWUv8ZK4NV","Not existing",""
"Iponga Health Centre","Iponga Health Centre","tyuN9XbfRHQ","KA0204","58"
"Ipula Village Clinic","Ipula Village Clinic","GpIMHSPiAQX","Not existing",""
"Ipulukutu Village Clinic","Ipulukutu Village Clinic","Mrxf7y4CnTq","Not existing",""
"Issa Village Clinic","Issa Village Clinic","bahoAzOGQoc","Not existing",""
"Itulo Village Clinic","Itulo Village Clinic","ycFGaV2jqw4","Not existing",""
"Jalamu Village Clinic","Jalamu Village Clinic","IOlwZJMUWQ1","Not existing",""
"Jalasi Health Centre","Jalasi Health Centre","s935PXX4rN2","MH2504","1000"
"Jalawe Health Centre","Jalawe Health Centre","rWDOWogc1O7","RU0422","1328"
"Jekete Village Clinic","Jekete Village Clinic","uvqRsGnophD","Not existing",""
"Jenda Health Centre","Jenda Health Centre","Mf6Xg1PJ7hC","MZS0511","1082"
"Jiramu Village Clinic","Jiramu Village Clinic","n1ND94r1TTC","Not existing",""
"John Village Clinic","John Village Clinic","CHchq2Lmf1t","Not existing",""
"John Village Clinic (Thuchila)","John Village Clinic (Thuchila)","XgnMSiqczZs","Not existing",""
"Jombo Village Clinic","Jombo Village Clinic","lQJwgHv1MIm","Not existing",""
"Jti Leaf Clinic Kanengo ","Jti Leaf Clinic Kanengo","PekPpdgGi9g","LL4081","1232"
"July Village Clinic","July Village Clinic","OASovg1RSth","Not existing",""
"Juma Village Clinic","Juma Village Clinic","Vc3EU2LiFHf","Not existing",""
"Kabanda Village Clinic","Kabanda Village Clinic","iNCnnwuwf5d","Not existing",""
"Kabila Village Clinic","Kabila Village Clinic","UCiRsRtqgVH","Not existing",""
"Kabila Village Clinic","Kabila Village Clinic","mnfQLonv03f","Not existing",""
"Kabudula Rural Hospital","Kabudula Rural/ Community Hospital","O6y74hiWU9z","LL1514","713"
"Kabuthu Village Clinic","Kabuthu Village Clinic","xeDeui6EO65","Not existing",""
"Kabuwa Health Centre","Kabuwa Health Centre","ZDj4Y2Flile","MZS0517","1189"
"Kabvalo Village Clinic","Kabvalo Village Clinic","gWYY5XDYTL3","Not existing",""
"Kabvina Village Clinic","Kabvina Village Clinic","Q3SOVg8UQFt","Not existing",""
"Kabwafu Health Centre","Kabwafu Health Centre","sZJvRZgWusR","MZN0540","826"
"Kabwanda Village Clinic","Kabwanda Village Clinic","EPl6q5WnWUh","Not existing",""
"Kabwatika Village Clinic","Kabwatika Village Clinic","gHTsASJk3F8","Not existing",""
"Kacheche Village Clinic","Kacheche Village Clinic","BljOy3rBWmi","Not existing",""
"Kachelenga Village Clinic","Kachelenga Village Clinic","S64bX5pfg8f","Not existing",""
"Kachere Health Centre","Kachere Health Centre","veqbrdZo1K1","NB0308","60"
"Kachere Private Clinic","Kachere Private Clinic","XyrCQrwYHQt","LL4011","1266"
"Kachindamoto Dispensary","Kachindamoto Health Centre","UoujHkWWWBq","DZ1750","1363"
"Kachingwe Village Clinic","Kachingwe Village Clinic","MyTZSvEfY97","Not existing",""
"Kadango Dispensary","Kadango Health Centre","IRP5VaILlSr","MH2542","1186"
"Kadidi Health Centre","Kadidi Health Centre","cLY2A4m8Jn0","BT5068","1256"
"","Kafere Health Centre","LgvOkReAslr","DZ1709","831"
"Kafisira Village Clinic","Kafisira Village Clinic","PK8PtQ1L5mo","Not existing",""
"Kafukule Health Centre","Kafukule Health Centre","U0T5lPrgVEY","MZN0512","61"
"Kafulu Village Clinic","Kafulu Village Clinic","VJdjNo9VxOb","Not existing",""
"Kafulufulu Village Clinic","Kafulufulu Village Clinic","EcCGfv64yX4","Not existing",""
"Kaiche Village Clinic","Kaiche Village Clinic","w4ntb0dG1GB","Not existing",""
"Kaigwazanga Health Centre","Kaigwazanga Health Centre","fELrRZgvyHN","MC1604","833"
"Kajawo Village Clinic","Kajawo Village Clinic","arlbXNtIjqm","Not existing","580"
"Kakoma Health Centre","Kakoma Health Centre","sYY0PQEhVU1","CK3307","578"
"Kalambo Village Clinic","Kalambo Village Clinic","jhEFlpjMZwa","Not existing",""
"Kalanga Village Clinic","Kalanga Village Clinic","ZPbKbKxHGbf","Not existing",""
"Kalanje (St. Theresa) Village Clinic","Kalanje (St. Theresa) Village Clinic","JW67lV3ycEl","Not existing",""
"Kalemba Health Centre","Kalemba Hospital","OyDhmxtA7nb","NJ3402","767"
"Kalembo Health Centre","Kalembo Health Centre","KNQ4RzNnZ6v","BLK3603","656"
"Kalembo Village Clinic","Kalembo Village Clinic","sBVK0qGOfM1","BLK3603",""
"Kalenga Village Clinic","Kalenga Village Clinic","IsDT5IEF5jG","Not existing",""
"Kalikeni Private Clinic ","Kalikeni Private Clinic","GcRdYduUYh0","KU1045","1141"
"Kalikumbi Health Centre","Kalikumbi Health Centre","ZROS5WSviIN","MZS0513","527"
"Kalima Village clinic","Kalima Village clinic","mhOEYp1r9pS","Not existing",""
"Kalima Village clinic","Kalima Village clinic","ZVDxKH11Wpk","Not existing",""
"Kalima Village Clinic","Kalima Village Clinic","ZncuS3YlCAN","Not existing",""
"Kalimanjira Health Centre","Kalimanjira Health Centre","K26cW6KAhFP","TBA005","1413"
"Kalimanjira Village Clinic","Kalimanjira Village Clinic","naNTLYna1vr","TBA005",""
"Kalinde Health Centre","Kalinde Health Centre","uzaw4ubBdwd","PE3505","842"
"Kalira Village Clinic","Kalira Village Clinic","B132Qd749sh","Not existing",""
"","Kaloga Dispensary","uSD7ar5Bu2I","Not existing",""
"Kalongolera Village Clinic","Kalongolera Village Clinic","jcNv7zrnTGa","Not existing",""
"Kalongonda Village Clinic","Kalongonda Village Clinic","Hu3Z8wdZ77D","Not existing",""
"Kalopa Village Clinic","Kalopa Village Clinic","wjquBxW27zs","Not existing",""
"Kalowa Village Clinic","Kalowa Village Clinic","QLOWCM66K6l","Not existing",""
"Kalozwa Village Clinic","Kalozwa Village Clinic","C0IKQoVS6sO","Not existing",""
"Kalulu Health Centre","Kalulu Health Centre","a8NnsOmXWK7","DZ1710","844"
"Kalulu Illovo Clinic","Kalulu Health Centre, Chikwawa ","sXL607jX6A9","CK3360","1180"
"Kaluluma Rural Hospital","Kaluluma Rural/ Community Hospital","BOEaJ4eqVC9","KU1005","321"
"Kamangazula Village Clinic","Kamangazula Village Clinic","Of33FCIJgRG","Not existing",""
"Kambali Village Clinic","Kambali Village Clinic","JwztviW63WD","Not existing",""
"Kambenje Health Centre","Kambenje Health Centre","UzxhcPn4QZG","MJ3206","846"
"Kamboni Health Centre","Kamboni Health Centre","cez54P9k6OJ","KU1006","849"
"Kameme Health Centre","Kameme Health Centre","gil9su99LXX","CP0105","436"
"Kampanje Maternity","Kampanje Maternity","AzbGHKq4K1A","Not existing","1039"
"Kamphata Dispensary","Kamphata Dispensary","DzmTX22yCZc","Not existing","65"
"Kamphyongo Village Clinic","Kamphyongo Village Clinic","ebOMmbsn1jk","Not existing",""
"Kampondo Village Clinic","Kampondo Village Clinic","iVeq1uKB2Iy","Not existing",""
"Kamsonga Health Centre","Kamsonga Health Centre","m9IaQF4jaPL","NS1203","70"
"Kamteteka Health Centre","Kamteteka Health Centre","QM6V7PDrfLM","MZS0514","851"
"Kamuzu Barracks Dispensary","Kamuzu Barracks Health Centre","P6q5ZIrXGAM","LL1545","66"
"Kamuzu Central Hospital","Kamuzu Central Hospital Pharmacy","RY0I8Ha0azq","LL1519",""
"Kamwe Health Centre","Kamwe Health Centre","ncumVqRrCMN","MZN0557","546"
"Kamwendo Village Clinic","Kamwendo Village Clinic","XAgsEainJF3","Not existing",""
"Kande Health Centre","Kande Health Centre","zA0iPC953jV","NB0309","67"
"Kandeu Health Centre","Kandeu Health Centre","QIjZYskL19K","NU1812","515"
"Kandeu Village Clinic","Kandeu Village Clinic","UfuJcVnoztq","NU1812",""
"Kandulu Village Clinic","Kandulu Village Clinic","xlUoz4DAn3N","Not existing",""
"Kanengo Tobacco Processors Clinic ","Kanengo Tobacco Processors Clinic","PKEeM8l1Sym","LL4053","1231"
"Kang'Oma Health Centre","Kang'Oma Health Centre","o1ZjuUmv5aQ","LL1515","855"
"Kangindo Village Clinic","Kangindo Village Clinic","GtibA9eVEHd","Not existing",""
"Kangolwa Health Centre","Kangolwa Health Centre","OZNe80Ws0on","NS1204","68"
" Kanjedza Police  Clinic","Kanjedza Police Clinic","Phf46V2Gghq","BT5061","1196"
"Kankao Health Centre","Kankao Health Centre","HmTVrgdnucu","BLK3604","69"
"Kantunda Village Clinic","Kantunda Village Clinic","IToZPgn1nl6","Not existing",""
"Kanyama Health Centre","Kanyama Health Centre","UwBTf92fAib","DZ1711","860"
"Kanyenda Village Clinic","Kanyenda Village Clinic","EaulAFF82rI","Not existing",""
"Kanyenjere Village Clinic","Kanyenjere Village Clinic","jkyn4E4zypW","Not existing",""
"Kanyezi Health Centre","Kanyezi Health Centre","U6sLs3tOzpC","DZ1712","71"
"Kanyimbi Dispensary","Kanyimbi Dispensary","AbJbZQt4UJs","Not existing","768"
"Kanzimbi Village Clinic","Kanzimbi Village Clinic","gikIwWTkGd9","Not existing",""
"Kaombe Dispensary","Kaombe Dispensary","Qw8SEqwTxHk","Not existing",""
"Kapanga Health Centre","Kapanga Health Centre","H2ErYfEdioK","MC1605","715"
"Kapangamawe Village Clinic","Kapangamawe Village Clinic","Ms2i4VX29bf","Not existing",""
"Kapelula Health Centre","Kapelula Health Centre","dy2GeuSwyIq","KU1007","315"
"Kapenda Health Centre","Kapenda Health Centre","NItIjAcYO8y","CP0106","417"
"Kapeni Dream Centre ","Kapeni Dream Centre","NvxhlNwKlXK","BT5069","1249"
"Kapeni Health Centre","Kapeni Health Centre","D9w3urb7GKR","NU1813","514"
"Kapesi Village Clinic","Kapesi Village Clinic","TGiY37qQkWM","Not existing",""
"Kaphatenga Health Centre","Kaphatenga Health Centre","yM9bkHicOua","SA1418","863"
"Kaphuka Health Centre","Kaphuka Health Centre","wGMlG6WZZ4q","DZ1713","350"
"Kapichila (ESCOM) Health Centre","Kapichila (ESCOM) Health Centre","xYv4hTyV9mX","CK021","583"
"Kapichira Escom Clinic","Kapichira Escom Clinic","L05pebPpoWP","CK021",""
"Kapiri Health Centre (Nkhotakota)","Kapili Health Centre","sQnNX5Nbvu7","KK1105","869"
"Kapire Dream Centre ","Kapire Dream Centre Health Centre","TZ4Ea3gK3yA","MH2566","1233"
"Kapire Health Centre","Kapire Health Centre","bOzeauFIWQA","MH2505","872"
"Kapiri Mission Hospital","Kapiri Health Centre","ekYnKIXnPPj","MC1633","458"
"Kapirimuhoto Village Clinic","Kapirimuhoto Village Clinic","OLt9MM0pUBA","Not existing",""
"Kaporo Rural Hospital","Kaporo Rural/ Community Hospital","mqNSnMB7fgW","KA0205","394"
"Karonga-DHO","Karonga DHO Pharmacy","WVBSPqTMrPP","KA0206",""
"Karonga District Hospital","Karonga District Hospital","tjHJZDgKu6q","KA0206","76"
"Kasalika Dispensary","Kasalika Health Centre","TrYObnlA8UT","KU1033","461"
"Kasangamala Village Clinic","Kasangamala Village Clinic","GbxpaCLW3IG","Not existing",""
"Kasese Health centre","Kasese Health centre","JX6hyvnBrlF","DA1324","1112"
"Kaseye Mission Hospital","Kaseye Health Centre","mTqGek9GBbM","CP0107","426"
"Kashoni Village Clinic","Kashoni Village Clinic","iFCObubHwhj","Not existing",""
"Kasina Health Centre","Kasina Health Centre","PCWfXe1C9hK","DZ1714","874"
"Kasinje Health Centre","Kasinje Health Centre","kW3Ro43YXwB","NU1814","513"
"Kasinthula Dispensary","Kasinthula Dispensary","QBRXRxcbT0a","Not existing",""
"Kasisi Village Clinic","Kasisi Village Clinic","UXOVdlDHxqj","Not existing",""
"Kasisi Village Clinic (Kaporo)","Kasisi Village Clinic (Kaporo)","PZTGvF2GPhc","Not existing",""
"Kasitu Dispensary","Kasitu Health Centre","qX2CrzT4TL1","KK1122","1215"
"Kasoba Health Centre","Kasoba Health Centre","VDMYQuQPz2N","KA0217","392"
"Kasuma Village Clinic","Kasuma Village Clinic","oKaxikNAXP3","Not existing",""
"Kasungu-DHO","Kasungu DHO Pharmacy","QWwg51OvU0a","KU1008",""
"Kasungu District Hospital","Kasungu District Hospital","wNoaGHOI6Zl","KU1008","78"
"Kaswiti Village Clinic","Kaswiti Village Clinic","E0ht2ErSF1N","Not existing",""
"Katawa Health Centre","Katawa Clinic","vvgvKSNrelJ","SA1437","1390"
"Katchale Health Centre","Katchale Health Centre","SUO29yrjbH4","LL1516","828"
"Katema Health Centre","Katema Health Centre","gNaXoVYpN1v","MH2506","495"
"Katete Rural Hospital","Katete Hospital","YABJoiuXQMB","MZS0515","530"
"Katili Dispensary","Katili Dispensary","nrK4dEVDNdL","Not existing","391"
"Katimbila Health Centre","Katimbira Health Centre","Fz0tDlXVsn3","KK1114","342"
"Katokoli Village Clinic","Katokoli Village Clinic","XJSpyyHsQ5D","Not existing",""
"katope Village Clinic","katope Village Clinic","AdcCwiE87ds","Not existing",""
"Katowo Rural Hospital","Katowo Rular/ Community Hospital","TgIZdG9r95r","RU0408","81"
"Katsekera Health Centre","Katsekera Health Centre","Mby0tOuLfvm","NU1815","510"
"Katula Village Clinic","Katula Village Clinic","x0WL4fKolRL","Not existing",""
"Katuli Health Centre","Katuli Health Centre","fA8higAcbmz","MH2507","840"
"Kaundu Health Centre","Kaundu Health Centre","H0sBidyA6PK","DZ1729","353"
"Kavula Village Clinic","Kavula Village Clinic","wB1Mb36hZVz","Not existing",""
"Kavuzi Health Centre","Kavuzi Clinic","g7LNUVG1pQA","NB0323","1283"
"Kawalazi Plantation Clinic","Kawalazi Plantation Clinic","UT6ad8gmKjC","NB0330","549"
"Kawale Banja La Mtsogolo Dispensary","Kawale Banja La Mtsogolo Dispensary","SnfOrypiyQj","LL1580",""
"Kawale Urban Health Centre","Kawale Health Centre","d1WQftQ87x3","LL1517","730"
"Kawale Medical Services ","Kawale Medical Services","q4n2TvCdd9O","LL4018","1358"
"Kawale Village Clinic","Kawale Village Clinic","frshf65D3jI","Not existing in OpenLMIS",""
"Kawamba Health Centre","Kawamba Health Centre","flfOvLzldtj","KU1009","329"
"Kawanga Village Clinic","Kawanga Village Clinic","n3wGJ6k9Bj8","Not existing",""
"Kaweche Health Centre","Kaweche Health Centre","BRvHol84T4Q","MZN6014","1344"
"Kawelama Village Clinic","Kawelama Village Clinic","PNYfT2uplVs","Not existing",""
"Kawinga Dispensary","Kawinga Dispensary","ozdBwLyST0J","MHG2604","1226"
"Kaongozi Dispensary","Kawongozi Health Centre","eK4PmFIrpY5","KK1121","1401"
"Kayembe Health Centre","Kayembe Health Centre","HYqblaD619d","DA1310","83"
"Kayenda Village Clinic","Kayenda Village Clinic","FbM6eQ6ijLb","Not existing",""
"Kayera Village Clinic","Kayera Village Clinic","eqym2txuoqf","Not existing",""
"Kayerekera Village Clinic","Kayerekera Village Clinic","kZ3rZ1J4UFk","Not existing",""
"Kayombo Village Clinic","Kayombo Village Clinic","ftBZ6ETQENF","Not existing",""
"Kayuni-2 Village Clinic","Kayuni-2 Village Clinic","CeqL2oHcG7X","Not existing",""
"Kazembe Village Clinic","Kazembe Village Clinic","xDV2h9Axh8h","Not existing",""
"Kazguli Village Clinic","Kazguli Village Clinic","KoQII4uTfmZ","Not existing",""
"Kazuni School Village Clinic","Kazuni School Village Clinic","Sry9iw1MEnp","Not existing",""
"Kazyozyo Dispensary","Kazyozyo Health Centre","q4bVkSStlsm","MC1614","1331"
"kch Dental Department","kch Dental Department","VcQaxDFCVSX","Not existing",""
"kch Medical Department","kch Medical Department","g699zwDjYsN","Not existing",""
"kch Obs and Gynae Department","kch Obs and Gynae Department","fOxzhQuzhf4","Not existing",""
"kch Ophthalmology Department","kch Ophthalmology Department","z51sML21fcH","Not existing",""
"kch Surgical Department","kch Surgical Department","vmFAlIXd0j1","Not existing",""
"Kella Village Clinic","Kella Village Clinic","cporXbhXz7R","Not existing",""
"Ketwel Chiwinga Village Clinic","Ketwel Chiwinga Village Clinic","A1Z1O8fbdMH","Not existing",""
"Khama Private Clinic","KHAMA Health Centre","x647VZUetKI","LL4020",""
"Khanyanga Village Clinic","Khanyanga Village Clinic","UbfmX9e65gJ","Not existing",""
"Khanyizira Village Clinic","Khanyizira Village Clinic","WDS2L38TzgA","Not existing",""
"Khasu Health Centre","Khasu Health Centre","y34yv5aEYeA","Not existing",""
"khaula Village Clinic","khaula Village Clinic","CBRtVvey5yA","Not existing",""
"Khola Health Centre","Khola Health Centre","PYQecgNXvAc","KU1023","881"
"Khombedza Health Centre","Khombedza Health Centre","XcRAuC6ZPi0","SA1406","84"
"Khondowe Health Centre","Khondowe Health Centre","OxWyNMOFrbv","NB0310","586"
"Khongoni Health Centre","Khongoni Health Centre","W8j3MAkrJe4","LL1518","714"
"Khonjeni Health Centre","Khonjeni Health Centre","UkXVvwCLQgO","TO3109","85"
"Khosolo Health Centre","Khosolo Health Centre","GVweqBeEYdR","MZS0516","532"
"Khoviwa Village Clinic","Khoviwa Village Clinic","MHoXCtC0cuU","Not existing",""
"Khuwi Health Centre","Khuwi Health Centre","RgHJHBTtszj","NS1205","86"
"Khuyu 1 Village Clinic","Khuyu 1 Village Clinic","oIhYjsLvtjs","Not existing",""
"Khuyu 2 Village Clinic","Khuyu 2 Village Clinic","sx2txVrIfeE","Not existing",""
"Khuyukuyu Health Centre","Khuyukuyu Health Centre","q0KYGiBsenN","MZN0572","1200"
"Khuzumba Village Clinic","Khuzumba Village Clinic","KntIlaOGpP6","Not existing",""
"Khwalala Village Clinic","Khwalala Village Clinic","BQfn5HaBnid","Not existing",""
"Khwinjiwa Village Clinic","Khwinjiwa Village Clinic","E2ANZs58Zmo","Not existing",""
"Kishombe Village Clinic","Kishombe Village Clinic","b8AMoYpapEJ","Not existing",""
"Koche Health Centre","Koche Health Centre","O65d1uI6NGP","MH2508","884"
"Kochilira Rural Hospital","Kochilira Rural/ Community Hospital","sxgy4P0oUli","MC1607","87"
"Kombola Village Clinic","Kombola Village Clinic","ZGn6DKYgzBT","Not existing",""
"Kondwani Village Clinic","Kondwani Village Clinic","y6gmJ3aVTHf","Not existing",""
"Kubalalika Village Clinic","Kubalalika Village Clinic","j4Iz5e3oH50","Not existing",""
"Kukalanga Dispensary","Kukalanga Dispensary","QOSmQ9gyzBp","MH2509","487"
"Kulunda Village Clinic","Kulunda Village Clinic","JUzXoSKp9Mb","Not existing",""
